itemno,postinggroup,desc1,desc2,desc3,desc4
0020-00Z,fgseedki,14vps,saladlovers,-,-
0021-00Z,fgseedki,14p,herbloversseedkit,-,-
100235-0000,raw,flatplantspacerchina,-,-,-
100824-0000,raw,supergrownutrients3poz,-,-,-
100828-0000,accessory,aerovoirstand,-,-,-
1100-00B,fggardens,7paerator1006p10,blk,-,-
200302-0000,seedpod,7p,celosia,-,-
200450-0000,seedpod,tomato,-,-,-
203100-0000,seedpod,holybasil,-,-,-
203102-0000,seedpod,basil,genov,-,-
203104-0000,seedpod,basil,-,-,-
203105-0000,seedpod,basil,-,-,-
203106-0000,seedpod,basil,-,-,-
203107-0000,seedpod,basil,-,-,-
203109-0000,seedpod,basil,-,-,-
203110-0000,seedpod,catnip,-,-,-
203114-0000,seedpod,shungiku,-,-,-
203126-0000,seedpod,chivesm,-,-,-
203128-0000,seedpod,tarront,-,-,-
203131-0000,seedpod,cilantrom,-,-,-
203139-0000,seedpod,dillt,-,-,-
203150-0000,seedpod,tomato,-,-,-
203151-0000,seedpod,tomatoredh,-,-,-
203160-0000,seedpod,chilipepper,-,-,-
203161-0000,seedpod,pepper,bell,-,-
203162-0000,seedpod,pepper,-,-,-
203163-0000,seedpod,pepper,-,-,-
203172-0000,seedpod,parsley,-,-,-
203173-0000,seedpod,parsley,-,-,-
203176-0000,seedpod,marjorams,-,-,-
203181-0000,seedpod,mint,-,-,-
203182-0000,seedpod,mint,lemon,-,-
203186-0000,seedpod,tomato,-,-,-
203204-0000,seedpod,oreganos,-,-,-
203211-0000,seedpod,sem,-,-,-
203212-0000,seedpod,vinca,-,-,-
203219-0000,seedpod,phlox,-,-,-
203220-0000,seedpod,saladgreens,-,-,-
203221-0000,seedpod,minipeta,-,-,-
203223-0000,seedpod,romaine,-,-,-
203231-0000,seedpod,lavenders,-,-,-
203233-0000,seedpod,gazania,-,-,-
203243-0000,seedpod,zinnia,-,-,-
203251-0000,seedpod,lemonbalm,-,-,-
203252-0000,seedpod,thaibasil,-,-,-
203262-0000,seedpod,stock,-,-,-
203264-0000,seedpod,kale,-,-,-
203270-0000,seedpod,viola,-,-,-
203271-0000,seedpod,ghostpepper,-,-,-
203272-0000,seedpod,anaheimpepper,-,-,-
203273-0000,seedpod,poblanopepper,-,-,-
203274-0000,seedpod,cayennepepper,-,-,-
203281-0000,seedpod,thymes,-,-,-
203282-0000,seedpod,babygreens,-,-,-
203283-0000,seedpod,arugula,-,-,-
203285-0000,seedpod,tatsoi,-,-,-
203287-0000,seedpod,mtard,-,-,-
203288-0000,seedpod,cress,-,-,-
203290-0000,seedpod,blackseededsimpson,-,-,-
203292-0000,seedpod,rougedhiver,-,-,-
203294-0000,seedpod,marvelof4seasons,-,-,-
203319-0000,seedpod,cascpeta,-,-,-
203326-0000,seedpod,minicherrytomato,-,-,-
203329-0000,seedpod,rosemary,-,-,-
203336-0000,seedpod,collardgreens,-,-,-
2100-00S,fggardens,7p,silver,no,-
2101-00B,fggardens,7p,blk,gh,-
2101-00S,fggardens,7p,slv,gh,-
2101-00W,fggardens,7p,wht,gh,-
2102-00B,fggardens,7p,blk,gh,ga
2102-00S,fggardens,7p,slv,gh,ga
2107-00B,fggardens,7pwghcherrytomato,-,-,-
2108-00B,fggardens,7p,blk,gh,sss
2601-00B,fggardens,7p,black,gh,-
2701-00B,fggardens,7pled,blk,gh,-
2703-00B,fggardens,7pled,bundle,wmcom,-
3101-00B,fggardens,3p,blk,gh,-
3101-00W,fggardens,3p,wht,gh,-
3111-00B,fggardens,3psl,blk,gh,-
3111-00W,fggardens,3psl,wht,gh,-
3203-00B,fggardens,sproutplblk,bundle,wmcom,-
502162-0008,displays,ctc,loaded,ca,-
502537-0000,displays,macys,-,-,-
502538-0000,displays,bbb,-,-,-
502539-0000,displays,kohls,-,-,-
502552-0000,displays,costco,-,-,-
502555-0000,displays,macys2019,-,-,-
502556-0000,displays,kohls,original2019,-,-
502561-0000,displays,bedhbeyond,-,-,-
502568-0000,displays,acehardware,2019,-,-
502569-0000,displays,ctc12pallet,-,-,-
502570-0000,displays,ctc14pallet,-,-,-
506900-0000,raw,herbie,activitybook,pizza,-
506901-0000,raw,herbie,activitybook,lettuce,-
506902-0000,raw,herbie,activitybook,icmint,-
506903-0000,raw,herbie,activitybook,snapdrg,-
603567-0000,displays,harvestelite,bbb2015,-,-
603568-0000,displays,harvestplgrey,bbb,-,-
605006-0000,displays,3pslwalmartdsplyprod,-,-,-
6101-00B,fggardens,6p,blk,gh,-
6103-00B,fggardens,6p,bundle,wmcom,-
684AA,raw,plant,livestraerry,-,-
7101-00B,fggardens,extra,blk,gh,-
7201-00B,fggardens,extraled,blk,gh,-
800150-0208,fgseedki,7p,ctomkit,herb,-
800151-0208,fgseedki,7p,ctomkit,veg,-
800152-0208,fgseedki,7p,ctomkit,salad,-
800153-0208,fgseedki,7p,ctomkit,flower,-
800154-0208,fgseedki,3p,ctomkit,herb,-
800155-0208,fgseedki,3p,ctomkit,veggie,-
800156-0208,fgseedki,3p,ctomkitsalad,-,-
800157-0208,fgseedki,3p,ctomkitflower,-,-
800237-0208,fgseedki,7p,autumncolors,-,-
800238-0208,fgseedki,7p,loveblooms,-,-
800260-0208,fgseedki,7pmegacherrytomato,-,-,-
800285-0100,accessory,sss,bounty2019models,-,-
800291-0208,accessory,sss,-,-,-
800292-0100,accessory,ssssprout,-,-,-
800292-0101,accessory,ssssprout,-,-,-
800292-0208,accessory,ssssprout,-,-,-
800293-0100,accessory,sssharvest,-,-,-
800293-0101,accessory,sssharvst,-,-,-
800293-0105,accessory,sssharvstfr,-,-,-
800293-0208,accessory,sss,harvest,-,-
800294-0100,accessory,sss,7,-,-
800295-0100,accessory,sss,exbtyul,-,-
800295-0101,accessory,sssbounty,-,-,-
800295-0208,accessory,sss,exbtyul,-,-
800296-0100,accessory,sss,farm,-,-
800297-0200,accessory,sss,hrvt2018,-,-
800297-0208,accessory,sss,hrvst2018,ca,-
800298-0200,accessory,sss,hrvtslim,-,-
800299-0200,accessory,sss,hrvt360,-,-
800334-0208,fgseedki,3p,cascadingpeta,-,-
800334-2208,fgseedki,2x3p,cascadingpeta,-,-
800351-0208,seedkits,3p,minijalapeno,-,-
800357-0201,fgseedki,3p,growanything,-,-
800357-0205,fgseedki,3p,growanything,-,-
800357-0208,fgseedki,3p,growanything,-,-
800357-2208,fgseedki,3p,growanythingx2,-,-
800400-0201,fgseedki,3p,pestobasil,-,-
800400-0205,fgseedki,3p,pestobasil,-,-
800400-0208,fgseedki,3p,pestobasil,-,-
800400-2208,fgseedki,2x,3p,pestobasil,-
800401-0201,fgseedki,3p,gh,-,-
800401-0205,fgseedki,3p,gh,-,-
800401-0208,fgseedki,3p,gh,-,-
800401-2208,fgseedki,2x3p,gh,-,-
800404-0208,fgseedki,3p,loveblooms,-,-
800409-0208,fgseedki,3p,saladgreensmix,-,-
800411-0208,fgseedki,3p,mightyminicherrytomato,-,-
800411-2208,fgseedki,2x3p,mightyminicherrytom,-,-
800413-0208,fgseedki,3p,lavenderkit,-,-
800413-2208,fgseedki,3p,lavenderkit,2pk,-
800414-0201,fgseedki,3p,heirloomsaladgreens,-,-
800414-0205,fgseedki,3p,heirloomsaladgreens,-,-
800414-0208,fgseedki,3p,heirloomsaladgreens,-,-
800414-2208,fgseedki,2x3p,heirloomsaladgrns,-,-
800417-0208,fgseedki,3p,pizzaherbs,-,-
800417-2208,fgseedki,2x,3p,pizzaherbs,-
800418-0208,fgseedki,3p,polkadotmix,-,-
800419-0208,fgseedki,3p,kalemix,-,-
800419-2208,fgseedki,2x,3p,kalemix,-
800421-0208,fgseedki,3p,springflowers,-,-
800421-2208,fgseedki,3p,springflowers2pk,-,-
800422-0208,fgseedki,3p,phloxinabox,-,-
800422-2208,fgseedki,3p,phloxinabox2pk,-,-
800423-0208,fgseedki,3pviolayellowwredwing,-,-,-
800423-2208,fgseedki,3pvibrantviolas2pk,-,-,-
800424-0208,fgseedki,3pzinniamix,-,-,-
800425-0208,fgseedki,3p,beetgreens,-,-
800425-2208,fgseedki,3p,beetgreens2pk,-,-
800426-0208,fgseedki,3p,rosemary,-,-
800426-2208,fgseedki,3p,rosemary2pk,-,-
800427-0208,fgseedki,3p,smoothiegreens,-,-
800427-2208,fgseedki,3p,smoothiegrns2pk,-,-
800430-0208,fgseedki,3p,freshtea,-,-
800430-2208,fgseedki,3p,freshtea,2pk,-
800431-0208,fgseedki,3p,bokchoi,-,-
800432-0208,fgseedki,3p,swisschard,-,-
800437-0208,seedkits,3p,southerngreens,-,-
800500-0208,fgseedki,7p,gh,-,-
800501-0208,fgseedki,7p,cherrytomato,-,-
800502-0208,fgseedki,7p,saladgreensmix,-,-
800507-0208,fgseedki,7p,tcanitalianherb,-,-
800512-0208,fgseedki,catnip,-,-,-
800515-0208,fgseedki,7p,cole,-,-
800516-0208,fgseedki,7p,goldentomato,-,-
800518-0208,fgseedki,7p,phloxinabox,-,-
800522-0208,fgseedki,7p,mixedromaine,-,-
800528-0208,fgseedki,7p,growanything,-,-
800529-0208,fgseedki,7p,growanythingkit,-,-
800530-0208,fgseedki,growanything25pk,-,-,-
800531-0208,fgseedki,7p,englishcotte,-,-
800532-0208,fgseedki,growanything50pk,-,-,-
800533-0208,fgseedki,7p,mountainmeadow,-,-
800536-0208,fgseedki,7p,splashofcolor,-,-
800538-0208,fgseedki,7p,cascadingpeta,-,-
800539-0208,fgseedki,vinca,-,-,-
800542-0208,fgseedki,7p,bellpeppers,-,-
800544-0208,fgseedki,7p,chilipepper,-,-
800545-0208,fgseedki,7p,pestobasil,ca,-
800546-0208,fgseedki,7p,internationalbasil,-,-
800547-0208,fgseedki,7p,salsarden,-,-
800554-0208,fgseedki,7p,lavender,ca,-
800554-0300,fgseedki,6p,lavender,-,-
800570-0100,fgseedki,sss6p,-,-,-
800570-0200,fgseedki,sss,ss6,-,-
800570-0208,fgseedki,gardenstartertray,ss6,-,-
800571-0100,accessory,sss6plstc,-,-,-
800580-0208,fgseedki,7p,freshtea,-,-
800594-0300,fgseedki,7p,mightyminicherrytom,-,-
800595-0300,fgseedki,14p,flowerlovers,-,-
800596-0208,fgseedki,freshtastyherb,-,-,-
800597-0208,fgseedki,freshtastysalad,-,-,-
800598-0208,fgseedki,7p,freshtastytomato,-,-
800599-0208,fgseedki,7p,thaipepper,-,-
800600-0208,fgseedki,7p,jalapenopepper,-,-
800601-0208,fgseedki,7p,uplandcress,-,-
800602-0208,fgseedki,7p,chinesecabbe,-,-
800603-0208,fgseedki,7p,tradlmedicinal,-,-
800604-0208,fgseedki,7p,heirloomsaladgreens,-,-
800605-0208,fgseedki,7p,straerryliveplants,-,-
800606-0208,fgseedki,7p,asianherbs,-,-
800607-0208,fgseedki,7p,pizzaherb,-,-
800608-0208,fgseedki,7p,celosia,-,-
800609-0208,fgseedki,7p,cocktailmocktail,-,-
800611-0208,fgseedki,7p,incredibleedibles,-,-
800612-0208,fgseedki,7p,springflowers,-,-
800613-0208,fgseedki,7p,polkadotmix,-,-
800614-0208,fgseedki,7p,kalemix,-,-
800615-0208,fgseedki,7p,violayellowwrdwing,-,-
800621-0208,fgseedki,7p,zinniamix,-,-
800622-0208,fgseedki,7p,beetgreens,-,-
800623-0208,fgseedki,7p,rosemary,-,-
800624-0208,fgseedki,7p,smoothiegreens,-,-
800625-0208,fgseedki,7p,scarboroughfair,-,-
800626-0208,fgseedki,7p,bokchoi,-,-
800627-0208,fgseedki,7p,swisschard,-,-
800999-0208,fgseedki,7pghseedkit,-,-,-
802000-0208,fgseedki,herbie,pizzaparty,pkin,-
802001-0208,fgseedki,herbie,lettucefortwo,-,-
802002-0208,fgseedki,herbie,minticecream,-,-
802003-0208,fgseedki,herbie,snapduppetshow,-,-
802004-0208,fgseedki,herbie,pizzaparty,stand,-
806012-0208,fgseedki,12p,grmthrbhrlmtomato,-,-
806150-0208,fgseedki,6p,ctomkit,herb,-
806151-0208,fgseedki,6p,ctomkit,veggie,-
806152-0208,fgseedki,6p,ctomkit,salad,-
806153-0208,fgseedki,6p,ctomkit,flower,-
806238-0208,fgseedki,6p,loveblooms,-,-
806334-0208,fgseedki,6p,cascpetaobsolet,-,-
806334-2208,fgseedki,6p,cascadingpetax2,-,-
806500-0200,fgseedki,6p,gh,-,-
806500-0201,fgseedki,6p,gh,-,-
806500-0205,fgseedki,6p,gh,-,-
806500-0208,fgseedki,6p,gh,-,-
806500-0301,fgseedki,6p,gh,-,-
806500-0408,fgseedki,gf,6p,gh,-
806500-2200,fgseedki,6p,gh,2pk,-
806500-2208,fgseedki,6p,ghx2,-,-
806501-0200,fgseedki,6p,cherrytomato,-,-
806501-0201,fgseedki,6p,cherrytomato,-,-
806501-0205,fgseedki,6p,cherrytomato,-,-
806501-0208,fgseedki,6p,cherrytomato,-,-
806501-0301,fgseedki,6p,cherrytomato,-,-
806501-0408,fgseedki,gf,6p,cherrytomato,-
806501-2200,fgseedki,6p,hrlmcherrytomato,2pk,-
806501-2208,fgseedki,6p,cherrytomatox2,-,-
806502-0208,fgseedki,6p,saladgreensmix,-,-
806507-0208,fgseedki,6p,tcanitalianherb,-,-
806507-2208,fgseedki,6p,italianherb,2pk,-
806515-0208,fgseedki,6p,cole,-,-
806516-0208,fgseedki,6p,goldentomato,-,-
806518-0208,fgseedki,6p,phloxinabox,-,-
806522-0208,fgseedki,6p,mixedromaine,-,-
806522-2208,fgseedki,6p,mixedromaine,2pk,-
806528-0200,fgseedki,6pgrowanything,ca,-,-
806528-0201,fgseedki,6p,growanything,-,-
806528-0205,fgseedki,6p,growanything,-,-
806528-0208,fgseedki,6p,growanything,-,-
806528-0301,fgseedki,6p,growanything,-,-
806528-0408,fgseedki,gf,6p,growanything,-
806528-2200,fgseedki,6p,growanything,2pk,ca
806528-2208,fgseedki,6p,growanythingx2,-,-
806538-0208,fgseedki,6p,cascadingpeta,-,-
806545-0201,fgseedki,6p,pestobasil,-,-
806545-0205,fgseedki,6p,pestobasil,-,-
806545-0208,fgseedki,6p,pestobasil,-,-
806545-2208,fgseedki,2x,6p,pestobasil,-
806546-0208,fgseedki,6p,internationalbasil,-,-
806547-0208,fgseedki,6p,salsarden,-,-
806547-2208,fgseedki,6p,salsarden,2pk,-
806554-0208,fgseedki,6p,lavender,-,-
806580-0208,fgseedki,6p,freshtea,-,-
806594-0208,fgseedki,6p,mightymini,-,-
806599-0208,fgseedki,6p,thaipepper,-,-
806600-0208,fgseedki,6p,jalepenopepper,-,-
806603-0208,fgseedki,6p,tradlmedicinal,-,-
806603-2208,fgseedki,6p,tradlmedicinl,2pk,-
806604-0200,fgseedki,6p,hrlmsaladgreens,ca,-
806604-0201,fgseedki,6p,hrlmsaladgreens,-,-
806604-0205,fgseedki,6p,hrlmsaladgreens,-,-
806604-0208,fgseedki,6p,hrlmsaladgreens,-,-
806604-0301,fgseedki,6p,hrlmsaladgreens,-,-
806604-0408,fgseedki,gf,6p,hrlmsaladgreens,-
806604-2200,fgseedki,6phrlmsaladgreens,2pk,-,-
806604-2208,fgseedki,6p,heirloomsaladgrnsx2,-,-
806607-0208,fgseedki,6p,pizzaherb,-,-
806607-2208,fgseedki,2x,6p,pizzaherbkit,-
806609-0208,fgseedki,6p,cocktailmocktail,-,-
806611-0208,fgseedki,6p,incredibleedibles,-,-
806611-2208,fgseedki,6p,incredibleed,2pk,-
806612-0208,fgseedki,6p,springflowers,-,-
806613-0208,fgseedki,6p,polkadotmix,-,-
806614-0208,fgseedki,6p,kalemix,-,-
806614-2208,fgseedki,2x,6p,kalemix,-
806615-0208,fgseedki,6p,violayellowwrdwing,-,-
806621-0208,fgseedki,6p,zinniamix,-,-
806622-0208,fgseedki,6p,beetgreens,-,-
806622-2208,fgseedki,6p,beetgreens,2pk,-
806623-0208,fgseedki,6p,rosemary,-,-
806624-0208,fgseedki,6p,smoothiegreens,-,-
806624-2208,fgseedki,6p,smoothiegrns,2pk,-
806625-0208,fgseedki,6p,scarboroughfair,-,-
806625-2208,fgseedki,6p,scarboroughfa,2pk,-
806626-0208,fgseedki,6p,bokchoi,-,-
806627-0208,fgseedki,6p,swisschard,-,-
806632-0208,seedkits,6p,southerngreens,-,-
809150-0208,fgseedki,9p,ctomherb,-,-
809151-0208,fgseedki,9p,ctomkit,veggie,-
809152-0208,fgseedki,9p,ctomkit,salad,-
809153-0208,fgseedki,9p,ctomkit,flower,-
809238-0208,fgseedki,9p,loveblooms,-,-
809260-0208,fgseedki,9p,megacherrytomato,-,-
809500-0200,fgseedki,9p,gh,ca,-
809500-0201,fgseedki,9p,gh,-,-
809500-0205,fgseedki,9p,gh,-,-
809500-0208,fgseedki,9p,gh,-,-
809500-2200,fgseedki,9p,gh,2pk,-
809500-2208,fgseedki,9p,gh,2pk,-
809501-0200,fgseedki,9p,hrlmcherrytomato,ca,-
809501-0201,fgseedki,9p,hrlmcherrytomato,uk,-
809501-0205,fgseedki,9p,hrlmcherrytomato,-,-
809501-0208,fgseedki,9p,hrlmcherrytomato,-,-
809501-2200,fgseedki,9p,hrlmcherrytomato,2pk,-
809501-2208,fgseedki,9p,hrlmcherrytomato,2pk,-
809502-0208,fgseedki,9p,saladgreensmix,-,-
809507-0208,fgseedki,9p,tcanitalianherb,-,-
809515-0208,fgseedki,9p,cole,-,-
809516-0208,fgseedki,9p,goldentomato,-,-
809518-0208,fgseedki,9p,phloxinabox,-,-
809522-0208,fgseedki,9p,mixedromaine,-,-
809528-0200,fgseedki,9p,growanything,ca,-
809528-0201,fgseedki,9p,growanything,uk,-
809528-0205,fgseedki,9p,growanything,-,-
809528-0208,fgseedki,9p,growanything,-,-
809528-2200,fgseedki,9p,growanything,2pk,ca
809528-2208,fgseedki,9p,growanything,2pk,-
809531-0208,fgseedki,9p,englishcotte,-,-
809533-0208,fgseedki,9p,mountainmeadow,-,-
809538-0208,fgseedki,9p,cascadingpeta,-,-
809542-0208,fgseedki,9p,bellpeppers,-,-
809544-0208,fgseedki,9p,chilipepper,-,-
809545-0201,fgseedki,9p,pestobasil,uk,-
809545-0205,seedkits,9p,pestobasil,-,-
809545-0208,fgseedki,9p,pestobasil,-,-
809546-0208,fgseedki,9p,intlbasil,-,-
809547-0208,fgseedki,9p,salsarden,-,-
809554-0208,fgseedki,9p,lavender,-,-
809580-0208,fgseedki,9p,freshtea,-,-
809594-0300,fgseedki,9pmightymini,-,-,-
809599-0208,fgseedki,9p,thaipepper,-,-
809600-0208,fgseedki,9p,jalepenopepper,-,-
809603-0208,fgseedki,9p,tradlmedicinal,-,-
809604-0200,fgseedki,9p,hrlmsaladgreens,ca,-
809604-0201,fgseedki,9p,hrlmsaladgreens,uk,-
809604-0208,fgseedki,9p,hrlmsaladgreens,-,-
809604-2200,fgseedki,9phrlmsaladgreens,2pk,-,-
809604-2208,fgseedki,9p,hrlmsaladgreens,2pk,-
809606-0208,fgseedki,9p,asianherbs,-,-
809607-0208,fgseedki,9p,pizzaherbkit,-,-
809608-0208,fgseedki,9p,celosia,-,-
809609-0208,fgseedki,9p,cocktailmocktail,-,-
809611-0208,fgseedki,9p,incredibleedibles,-,-
809612-0208,fgseedki,9p,springflowers,-,-
809613-0208,fgseedki,9p,polkadotmix,-,-
809614-0208,fgseedki,9p,kalemix,-,-
809615-0208,fgseedki,9p,violayellowwrdwing,-,-
809616-0208,fgseedki,9p,ghostpepper,-,-
809617-0208,fgseedki,9p,anaheimpepper,-,-
809618-0208,fgseedki,9p,poblanopepper,-,-
809619-0208,fgseedki,9p,cayennepepper,-,-
809621-0208,fgseedki,9p,zinniamix,-,-
809622-0208,fgseedki,9p,beetgreens,-,-
809623-0208,fgseedki,9p,rosemary,-,-
