ItemNumber,Posting Group,Description,Add Your Item Type Field Here!
0020-00Z,FG SEED KI,"SK, 14 UnivPods, Salad Lover's",
0021-00Z,FG SEED KI,"SK, 14P, Herb Lover's Seed Kit",
100235-0000,RAW,Flat Plant Spacer (China),
100824-0000,RAW,SuperGrow Nutrients (3oz.),
100828-0000,ACCESSORY,Aerovoir Stand,
1100-00B,FG GARDENS,"AeroGdn 7 aerator 100610, Blk",
200302-0000,SEED POD,"seed pod,7P,Celosia",
200450-0000,SEED POD,"Seed Pod, AG Std, Tomato",
203100-0000,SEED POD,"Seed Pod, Holy Basil",
203102-0000,SEED POD,"Seed Pod, AG Std, Basil, Genov",
203104-0000,SEED POD,"Seed Pod, AG Std, Basil",
203105-0000,SEED POD,"Seed Pod, AG Std, Basil",
203106-0000,SEED POD,"Seed Pod, AG Std, Basil",
203107-0000,SEED POD,"Seed Pod, AG Std, Basil",
203109-0000,SEED POD,"Seed Pod, AG Std, Basil",
203110-0000,SEED POD,"Seed Pod, AG Std, Catnip",
203114-0000,SEED POD,"seed pod, AG Std, Shungiku",
203126-0000,SEED POD,"Seed Pod, AG Std, Chives-M",
203128-0000,SEED POD,"Seed Pod, AG Std, Tarragon-T",
203131-0000,SEED POD,"Seed Pod, AG Std, Cilantro-M",
203139-0000,SEED POD,"Seed Pod, AG Std, Dill-T",
203150-0000,SEED POD,"Seed Pod, AG Std, Tomato",
203151-0000,SEED POD,"Seed Pod, AG Std, Tomato Red H",
203160-0000,SEED POD,"Seed Pod, AG Std, Chili Pepper",
203161-0000,SEED POD,"Seed Pod, AG Std, Pepper, Bell",
203162-0000,SEED POD,"Seed Pod, AG Std, Pepper",
203163-0000,SEED POD,"Seed Pod, AG Std, Pepper,",
203172-0000,SEED POD,"Seed Pod, AG Std, Parsley",
203173-0000,SEED POD,"Seed Pod, AG Std, Parsley",
203176-0000,SEED POD,"Seed Pod, AG Std, Marjoram-S",
203181-0000,SEED POD,"Seed Pod, AG Std, Mint",
203182-0000,SEED POD,"Seed Pod, AG Std, Mint, Lemon",
203186-0000,SEED POD,"Seed Pod, AG Std, Tomato",
203204-0000,SEED POD,"Seed Pod,AG Std, Oregano-S",
203211-0000,SEED POD,"Seed Pod, AG Std, Sage-M",
203212-0000,SEED POD,"Seed Pod, AG Std, Vinca",
203219-0000,SEED POD,"Seed Pod, AG Std, Phlox",
203220-0000,SEED POD,"Seed Pod, AG Std, Salad Greens",
203221-0000,SEED POD,"Seed Pod, AG Std, Mini Petunia",
203223-0000,SEED POD,"Seed Pod, AG Std, Romaine",
203231-0000,SEED POD,"Seed Pod, AG Std, Lavender-S",
203233-0000,SEED POD,"Seed Pod, AG Std, Gazania",
203243-0000,SEED POD,"Seed Pod, AG Std, Zinnia",
203251-0000,SEED POD,"Seed Pod, AG Std, Lemon Balm",
203252-0000,SEED POD,"Seed pod, AG Std, Thai Basil",
203262-0000,SEED POD,"Seed Pod, AG Std, Stock",
203264-0000,SEED POD,"Seed Pod, AG Std, Kale",
203270-0000,SEED POD,"Seed Pod, AG Std,Viola",
203271-0000,SEED POD,"Seed Pod, AG Std,Ghost Pepper",
203272-0000,SEED POD,"Seed Pod,AG Std,Anaheim Pepper",
203273-0000,SEED POD,"Seed Pod,AG Std,Poblano Pepper",
203274-0000,SEED POD,"Seed Pod,AG Std,Cayenne Pepper",
203281-0000,SEED POD,"Seed Pod, AG Std, Thyme-S",
203282-0000,SEED POD,"Seed Pod, AG Std, Baby Greens",
203283-0000,SEED POD,"Seed Pod, AG Std, Arugula",
203285-0000,SEED POD,"Seed Pod, AG Std, Tatsoi",
203287-0000,SEED POD,"Seed Pod, AG Std, Mustard",
203288-0000,SEED POD,"Seed Pod, AG Std, Cress",
203290-0000,SEED POD,"Seed Pod,  Black SeededSimpson",
203292-0000,SEED POD,"Seed Pod, Rouge D'Hiver",
203294-0000,SEED POD,"Seed Pod, Marvel of 4 Seasons",
203319-0000,SEED POD,"Seed pod, AG Std, Casc Petunia",
203326-0000,SEED POD,"Seed Pod, Mini Cherry Tomato",
203329-0000,SEED POD,"Seed Pod, AG Std, Rosemary",
203336-0000,SEED POD,"Seed Pod, AG Std, Collard Greens",
2100-00S,FG GARDENS,"AeroGdn 7P, Silver, No SK,",
2101-00B,FG GARDENS,"AeroGdn 7, Blk, GH SK",
2101-00S,FG GARDENS,"AeroGdn 7, Slv, GH SK",
2101-00W,FG GARDENS,"AeroGdn 7, Wht, GH SK",
2102-00B,FG GARDENS,"AeroGdn 7, Blk, GH SK, GA SK",
2102-00S,FG GARDENS,"AeroGdn 7, Slv, GH SK, GA SK",
2107-00B,FG GARDENS,AG7 w/GH & Cherry Tomato,
2108-00B,FG GARDENS,"AeroGdn 7, Blk, GH SK,  SSS",
2601-00B,FG GARDENS,"AeroGdn 7P, Black, G Herb SK",
2701-00B,FG GARDENS,"AeroGdn 7 LED, Blk, GH SK",
2703-00B,FG GARDENS,"AG7 LED, Bundle, WM.com",
3101-00B,FG GARDENS,"AeroGdn 3, Blk, GH SK",
3101-00W,FG GARDENS,"AeroGdn 3, Wht, GH SK",
3111-00B,FG GARDENS,"AeroGdn 3 SL, Blk, GH SK",
3111-00W,FG GARDENS,"AeroGdn 3 SL, Wht, GH SK",
3203-00B,FG GARDENS,"Sprout Plus BLK, Bundle,WM.com",
502162-0008,DISPLAYS,"Display, POP, CTC, Loaded, CA",
502537-0000,DISPLAYS,"Display, Macy's POP",
502538-0000,DISPLAYS,"Display, BBB POP",
502539-0000,DISPLAYS,"Display, Kohl's POP",
502552-0000,DISPLAYS,"Display, Costco POP",
502555-0000,DISPLAYS,"Display, POP, Macy's 2019",
502556-0000,DISPLAYS,"Display, POP, Kohls, Original 2019",
502561-0000,DISPLAYS,"Display, POP, Bed Bath & Beyond",
502568-0000,DISPLAYS,"Display, Ace Hardware POP, 2019",
502569-0000,DISPLAYS,"Display, POP, CTC 1/2 Pallet",
502570-0000,DISPLAYS,"Display, POP, CTC 1/4 Pallet",
506900-0000,RAW,"Herbie, Activity Book, Pizza",
506901-0000,RAW,"Herbie, Activity Book, Lettuce",
506902-0000,RAW,"Herbie, Activity Book, IC Mint",
506903-0000,RAW,"Herbie, Activity Book, Snapdrg",
603567-0000,DISPLAYS,"Display,Harvest Elite, BBB2015",
603568-0000,DISPLAYS,"Display,Harvest Plus Grey, BBB",
605006-0000,DISPLAYS,"PDQ, AG 3SL Walmart Dsply&Prod",
6101-00B,FG GARDENS,"AeroGdn 6, Blk, GH SK",
6103-00B,FG GARDENS,"AG6, Bundle, WM.com",
684AA,RAW,"Plant, Live Strawberry",
7101-00B,FG GARDENS,"AeroGdn EXTRA, Blk, GH SK",
7201-00B,FG GARDENS,"AeroGdn Extra LED, Blk, GH SK",
800150-0208,FG SEED KI,"SK, 7 Pod, Custom Kit, HERB",
800151-0208,FG SEED KI,"SK, 7 Pod, Custom Kit, VEG",
800152-0208,FG SEED KI,"SK, 7 Pod, Custom Kit, SALAD",
800153-0208,FG SEED KI,"SK,7 Pod, Custom Kit, FLOWER",
800154-0208,FG SEED KI,"SK, 3- Pod, Custom Kit, HERB",
800155-0208,FG SEED KI,"SK, 3- Pod, Custom Kit, VEGGIE",
800156-0208,FG SEED KI,"SK, 3- Pod, Custom Kit. SALAD",
800157-0208,FG SEED KI,"SK, 3- Pod, Custom Kit. FLOWER",
800237-0208,FG SEED KI,"SK, 7 Pod, Autumn Colors",
800238-0208,FG SEED KI,"SK, 7- Pod, Love Blooms, US",
800260-0208,FG SEED KI,SK 7 Pod Mega Cherry Tomato,
800285-0100,ACCESSORY,"Seed Starting System, Bounty (2019) Models",
800291-0208,ACCESSORY,"Seed Starting Sys, Universal",
800292-0100,ACCESSORY,Seed Starting System Sprout,
800292-0101,ACCESSORY,Seed Starting System Sprout EU,
800292-0208,ACCESSORY,Seed Starting System Sprout,
800293-0100,ACCESSORY,Seed Starting System Harvest,
800293-0101,ACCESSORY,Seed Starting System Harvst EU,
800293-0105,ACCESSORY,Seed Starting System Harvst FR,
800293-0208,ACCESSORY,"Seed Starting System, Harvest",
800294-0100,ACCESSORY,"Seed Starting System, AG7",
800295-0100,ACCESSORY,"Seed Starting System,Ex/Bty/Ul",
800295-0101,ACCESSORY,Seed Starting System Bounty EU,
800295-0208,ACCESSORY,"Seed Starting System,Ex/Bty/Ul",
800296-0100,ACCESSORY,"Seed Starting System,Farm",
800297-0200,ACCESSORY,"Seed Starting System,Hrvt2018",
800297-0208,ACCESSORY,"Seed Starting System,Hrvst2018,CA",
800298-0200,ACCESSORY,"Seed Starting System,HrvtSlim",
800299-0200,ACCESSORY,"Seed Starting System,Hrvt360",
800334-0208,FG SEED KI,"SK, 3- Pod, Cascading Petunia",
800334-2208,FG SEED KI,"SK, 2x 3P, Cascading Petunia",
800351-0208,SEED KITS,"SK, 3P, Mini Jalapeno",
800357-0201,FG SEED KI,"SK, 3P, Grow Anything",
800357-0205,FG SEED KI,"SK, 3- Pod, Grow Anything",
800357-0208,FG SEED KI,"SK, 3- Pod, Grow Anything",
800357-2208,FG SEED KI,"SK, 3P, Grow Anything x 2",
800400-0201,FG SEED KI,"SK, 3P, Pesto Basil,",
800400-0205,FG SEED KI,"SK, 3- Pod, Pesto Basil",
800400-0208,FG SEED KI,"SK, 3- Pod, Pesto Basil,",
800400-2208,FG SEED KI,"SK, 2x, 3P, Pesto Basil",
800401-0201,FG SEED KI,"SK, 3P, Gourmet Herb,",
800401-0205,FG SEED KI,"SK, 3- Pod, Gourmet Herb",
800401-0208,FG SEED KI,"SK, 3- Pod, Gourmet Herb,",
800401-2208,FG SEED KI,"SK, 2x 3P, Gourmet Herb",
800404-0208,FG SEED KI,"SK, 3- Pod, Love Blooms, US",
800409-0208,FG SEED KI,"SK, 3- Pod, Salad Greens Mix",
800411-0208,FG SEED KI,"SK,3P,Mighty Mini CherryTomato",
800411-2208,FG SEED KI,"SK,2x 3P,Mighty Mini CherryTom",
800413-0208,FG SEED KI,"SK, 3- Pod, Lavender Kit",
800413-2208,FG SEED KI,"SK, 3- Pod, Lavender Kit, 2pk",
800414-0201,FG SEED KI,"SK, 3P, Heirloom Salad Greens",
800414-0205,FG SEED KI,"SK, 3P, Heirloom Salad Greens",
800414-0208,FG SEED KI,"SK, 3P, Heirloom Salad Greens",
800414-2208,FG SEED KI,"SK, 2x 3P, Heirloom Salad Grns",
800417-0208,FG SEED KI,"SK, 3- Pod, Pizza Herbs",
800417-2208,FG SEED KI,"SK, 2x, 3P, Pizza Herbs",
800418-0208,FG SEED KI,"SK, 3- Pod, Polka Dot Mix",
800419-0208,FG SEED KI,"SK, 3- Pod, Kale Mix",
800419-2208,FG SEED KI,"SK, 2x, 3P, Kale Mix",
800421-0208,FG SEED KI,"SK, 3- Pod, Spring Flowers",
