customerno,yr,mo,fiscalquarter,itemno,postinggroup,units,sales,customertype,desc1,desc2,desc3,desc4
3XL001,2014,1,Q4,800501-0208,fgseedki,300.0,210000.0,Retail,7p,cherrytomato,-,-
3XL001,2014,1,Q4,800528-0208,fgseedki,100.0,70000.0,Retail,7p,growanything,-,-
3XL001,2014,1,Q4,800544-0208,fgseedki,300.0,210000.0,Retail,7p,chilipepper,-,-
3XL001,2014,1,Q4,970133-0100,accessory,30.0,46500.0,Retail,aerovoirwithstand,-,-,-
3XL001,2014,5,Q1,800500-0208,fgseedki,500.0,350000.0,Retail,7p,gh,-,-
3XL001,2014,5,Q1,9116-00Z,accessory,100.0,17000.0,Retail,pumpfilter,10pk,-,-
3XL001,2014,5,Q1,970293-0000,accessory,200.0,120000.0,Retail,peat,bulk,50pk,-
3XL001,2015,2,Q4,800291-0208,accessory,200.0,230000.0,Retail,sss,-,-,-
3XL001,2015,2,Q4,970293-0000,accessory,600.0,360000.0,Retail,peat,bulk,50pk,-
ACE001,2016,8,Q2,800411-0208,fgseedki,52.0,37024.0,Retail,3p,mightyminicherrytomato,-,-
ACE001,2016,8,Q2,806604-0208,fgseedki,20.0,17540.0,Retail,6p,hrlmsaladgreens,-,-
ACE001,2016,8,Q2,900817-2200,fggardens,16.0,95984.0,Retail,sproutled,blk,-,-
ACE001,2016,9,Q2,800357-0208,fgseedki,4384.0,3121408.0,Retail,3p,growanything,-,-
ACE001,2016,9,Q2,800411-0208,fgseedki,4132.0,2941984.0,Retail,3p,mightyminicherrytomato,-,-
ACE001,2016,9,Q2,800414-0208,fgseedki,4360.0,3104320.0,Retail,3p,heirloomsaladgreens,-,-
ACE001,2016,9,Q2,900817-2200,fggardens,5032.0,24908400.0,Retail,sproutled,blk,-,-
ACE001,2016,10,Q3,800357-0208,fgseedki,84.0,47208.0,Retail,3p,growanything,-,-
ACE001,2016,10,Q3,800414-0208,fgseedki,72.0,40464.0,Retail,3p,heirloomsaladgreens,-,-
ACE001,2016,10,Q3,806528-0208,fgseedki,72.0,49896.0,Retail,6p,growanything,-,-
ACE001,2016,12,Q3,800411-0208,fgseedki,12.0,8544.0,Retail,3p,mightyminicherrytomato,-,-
ACE001,2016,12,Q3,806528-0208,fgseedki,204.0,178908.0,Retail,6p,growanything,-,-
ACE001,2017,1,Q4,806500-0208,fgseedki,12.0,10524.0,Retail,6p,gh,-,-
ACE001,2017,2,Q4,806528-0208,fgseedki,32.0,28064.0,Retail,6p,growanything,-,-
ACE001,2017,2,Q4,900817-2200,fggardens,40.0,239960.0,Retail,sproutled,blk,-,-
ACE001,2017,2,Q4,901016-1200,fggardens,21.0,201579.0,Retail,6pledwithgh,-,-,-
ACE001,2017,4,Q1,900817-2200,fggardens,24.0,143976.0,Retail,sproutled,blk,-,-
ACE001,2018,1,Q4,800357-0208,fgseedki,88.0,62656.0,Retail,3p,growanything,-,-
ACE001,2018,2,Q4,806500-0208,fgseedki,4.0,3508.0,Retail,6p,gh,-,-
ACE001,2018,3,Q4,800414-0208,fgseedki,8.0,5696.0,Retail,3p,heirloomsaladgreens,-,-
ACE001,2018,7,Q2,800357-0208,fgseedki,16.0,11392.0,Retail,3p,growanything,-,-
ACE001,2018,7,Q2,800411-0208,fgseedki,80.0,56960.0,Retail,3p,mightyminicherrytomato,-,-
ACE001,2018,7,Q2,900817-2200,fggardens,8.0,47992.0,Retail,sproutled,blk,-,-
ACE001,2018,11,Q3,800411-0208,fgseedki,744.0,529728.0,Retail,3p,mightyminicherrytomato,-,-
ACE001,2018,11,Q3,900817-2200,fggardens,40.0,239960.0,Retail,sproutled,blk,-,-
ACE001,2018,12,Q3,800357-0208,fgseedki,48.0,34176.0,Retail,3p,growanything,-,-
ACE001,2018,12,Q3,800401-0208,fgseedki,36.0,25632.0,Retail,3p,gh,-,-
ACE001,2018,12,Q3,806501-0208,fgseedki,24.0,21048.0,Retail,6p,cherrytomato,-,-
ACE001,2018,12,Q3,806604-0208,fgseedki,8.0,7016.0,Retail,6p,hrlmsaladgreens,-,-
ACE001,2019,1,Q4,800401-0208,fgseedki,20.0,14240.0,Retail,3p,gh,-,-
ACE001,2019,1,Q4,806500-0208,fgseedki,4.0,3508.0,Retail,6p,gh,-,-
